"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
32582,"VLOS","small_airport","Oudomsay Airport",20.68269920349121,101.99400329589844,1804,"AS","LA","LA-OU","Oudomsay","yes","VLOS","ODY",,,"https://en.wikipedia.org/wiki/Oudomsay_Airport",
26584,"VLPS","medium_airport","Pakse International Airport",15.132100105285645,105.78099822998047,351,"AS","LA","LA-CH","Pakse","yes","VLPS","PKZ",,,"https://en.wikipedia.org/wiki/Pakse_Airport",
26585,"VLPV","small_airport","Phonesavanh Airport",19.45490074157715,103.21800231933594,3628,"AS","LA","LA-XI",,"no","VLPV",,,,,
32741,"VLSB","small_airport","Sayaboury Airport",19.2436,101.7093,962,"AS","LA","LA-XA","Sainyabuli","yes","VLSB","ZBY",,,"https://en.wikipedia.org/wiki/Sayaboury_Airport",
26586,"VLSK","medium_airport","Savannakhet Airport",16.55660057067871,104.76000213623047,509,"AS","LA","LA-SV",,"no","VLSK","ZVK",,,"https://en.wikipedia.org/wiki/Savannakhet_Airport",
26587,"VLSN","medium_airport","Sam Neua Airport",20.418399810791016,104.06700134277344,3281,"AS","LA","LA-HO",,"no","VLSN","NEU",,,,
525141,"VLSP","small_airport","Sepon Airport",16.95917,105.98167,702,"AS","LA","LA-SV",,"no","VLSP",,,,,
32585,"VLSV","small_airport","Saravane Airport",15.709439207700001,106.410698891,574,"AS","LA","LA-SL","Saravane","no","VLSV","VNA",,,,
32445,"VLTK","small_airport","Thakhek Airport",17.377917,104.857378,449,"AS","LA","LA-KH","Thakhek","no","VLTK","THK",,,,
26588,"VLVT","medium_airport","Wattay International Airport",17.988300323500003,102.56300354,564,"AS","LA","LA-VT","Vientiane","yes","VLVT","VTE",,"http://www.vientianeairport.com/","https://en.wikipedia.org/wiki/Wattay_International_Airport",
32703,"VLXK","small_airport","Xieng Khouang Airport",19.450001,103.157997,3445,"AS","LA","LA-XI","Xieng Khouang","yes","VLXK","XKH",,,"https://en.wikipedia.org/wiki/Xieng_Khouang_Airport",
317828,"VLXL","small_airport","Xienglom Airport",19.6203,100.815332,1830,"AS","LA","LA-BK","Xienglom","no","VLXL","XIE",,,"https://pl.wikipedia.org/wiki/Port_lotniczy_Xienglom",
41567,"VMI","medium_airport","Aeropuerto Nacional Dr. Juan Plate",-22.159371,-57.942395,280,"SA","PY","PY-1","Puerto Vallemi","no","SGVM","VMI",,,"https://en.wikipedia.org/wiki/Dr._Juan_Plate_Airport",
26589,"VMMC","large_airport","Macau International Airport",22.149599,113.592003,20,"AS","MO","MO-CAR","Nossa Senhora do Carmo","yes","VMMC","MFM",,"http://www.macau-airport.gov.mo/en/index.php","https://en.wikipedia.org/wiki/Macau_International_Airport","澳門國際機場"
35144,"VN-0001","medium_airport","Dong Hoi Airport",17.515,106.590556,59,"AS","VN","VN-NC","Dong Hoi","yes","VVDH","VDH",,,"https://en.wikipedia.org/wiki/Dong_Hoi_Airport",
46218,"VN-0002","closed","Duc My Airstrip",12.5384566216,109.007956982,,"AS","VN","VN-SCC","Duc My","no",,,,,,
46318,"VN-0003","heliport","Bach Mai Heliport",20.996632,105.832232,,"AS","VN","VN-RRD","Hanoi (Thanh Xuan)","no",,,,,"https://en.wikipedia.org/wiki/Bach_Mai_Airfield","Bac Mai Airfield, Sân bay Bach Mai"
313727,"VN-0004","small_airport","Yen Bai Air Base",21.732873,104.853601,131,"AS","VN","VN-NW","Yen Bai","no","VVYB",,,,"https://en.wikipedia.org/wiki/Y%C3%AAn_B%C3%A1i_Air_Base","Sân bay Quân sự Yên Bái"
314645,"VN-0005","small_airport","Đảo Trường Sa (Spratly Island) Airport",8.644541,111.920347,,"AS","VN","VN-SCC","Trường Sa (Trường Sa)","no",,,,,,
314650,"VN-0006","heliport","Đảo Nam Yết (Namyit Island) Helipad",10.178882,114.368989,,"AS","VN","VN-SCC","Trường Sa (Đảo Nam Yết / Namyit island)","no",,,,,,
314653,"VN-0007","closed","Đá Tây (West London Reef) Helipad",8.845476,112.195874,,"AS","VN","VN-SCC","Trường Sa (Trường Sa)","no",,,,,,
314654,"VN-0008","heliport","Đá Lớn (Discovery Great Reef) Helipad",10.022871,113.854429,,"AS","VN","VN-SCC","Trường Sa (Đá Lớn / Discovery Great Reef)","no",,,,,,
314655,"VN-0009","heliport","Đảo Phan Vinh (Pearson Reef B) Helipad",8.959083,113.653409,,"AS","VN","VN-SCC","Trường Sa (Đảo Phan Vinh / Pearson Reef B)","no",,,,,,
316654,"VN-0010","closed","Phu Quoc Airport",10.2270002365,103.967002869,23,"AS","VN","VN-SW","Duong Dong","no",,,,,"https://en.wikipedia.org/wiki/Phu_Quoc_Airport",
